Metric,Value
timing__setup__tns__corner:max_ff_n40C_1v95,0.0
timing__hold__wns__corner:max_ff_n40C_1v95,0
timing__setup__wns__corner:max_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:max_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:max_ff_n40C_1v95,0.124474
timing__hold_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,8.615571
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,12
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,12
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_1v80,1.79989
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_1v80,1.79996
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_1v80,0.000109464
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_1v80,0.000122113
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_1v80,0.0000361759
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_1v80,0.000122113
design_powergrid__voltage__worst,0.000122113
design_powergrid__voltage__worst__net:VDD,1.79989
design_powergrid__drop__worst,0.000122113
design_powergrid__drop__worst__net:VDD,0.000109464
design_powergrid__voltage__worst__net:VSS,0.000122113
design_powergrid__drop__worst__net:VSS,0.000122113
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.0000369999999999999981139219007442164866006351076066493988037109375
ir__drop__worst,0.000109000000000000006714247213768231858921353705227375030517578125
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
